PriceUpdateDate,ItemCode,ItemType,ItemName,ManufactureName,ManufactureCountry,ManufactureItemDescription,UnitQty,Quantity,UnitMeasure,BisWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,itemStatus,LastUpdateDate,LastUpdateTime
2023/08/21 12:19,453866,0,נטורינה קוקוס  200גר,"שטראוס גרופ ***בע""מ",,,"י""ח",2,ל 100 גרם,0,1,7.50,3.75,0,1,,
2023/07/16 13:24,453897,0,מרגרינה בטעם חמאה 200גר,"שטראוס גרופ ***בע""מ",,,"י""ח",2,ל 100 גרם,0,1,5,2.50,1,1,,
2023/08/21 12:15,7290000461625,1,בייגלה ]400בייגל שמיניות מלוחות,"יוניליוור ישראל שיווק בע""מ",,,"י""ח",4,ל 100 גרם,0,1,9.90,2.48,1,1,,
2023/08/21 12:15,7290000461656,1,בייגלה אחד אחד 400,"יוניליוור ישראל שיווק בע""מ",,,"י""ח",4,ל 100 גרם,0,1,9.90,2.48,1,1,,
2023/08/13 08:54,7290000461700,1,בייגלה גדול גדול,"יוניליוור ישראל שיווק בע""מ",,,"י""ח",4,ל 100 גרם,0,1,11.90,2.98,0,1,,
2023/03/15 10:27,7290000461724,1,גדול גדול שומשום,"יוניליוור ישראל שיווק בע""מ",,,"י""ח",4,ל 100 גרם,0,1,11.90,2.98,0,1,,
2023/06/25 08:05,7290000461793,1,בייגלה ארוך ארוך-ביג ביג,"יוניליוור ישראל שיווק בע""מ",,,"י""ח",1.50,ל 100 גרם,0,1,5.90,3.93,0,1,,
2021/09/02 03:00,462141,0,סחוג אדום חריף זהבי  150גר`,"שטראוס גרופ ***בע""מ",,,"י""ח",1.50,ל 100 גרם,0,1,7.90,5.27,0,1,,
2023/08/21 12:17,7290000462172,1,סחוג זהבי ירוק 150ג,"שטראוס גרופ ***בע""מ",,,"י""ח",1.50,ל 100 גרם,0,1,7.90,5.27,0,1,,
2022/01/20 13:59,464376,0,"מירנדה 330 מ""ל.",טמפו משקאות בעמ,,,"י""ח",3.30,"ל 100 מ""ל",0,1,3.90,1.09,1,1,,
2022/03/20 10:35,7290008464475,1,מכבי 500 פחית.,טמפו משקאות בעמ,,,"י""ח",5,"ל 100 מ""ל",0,1,7.50,1.44,1,1,,
2023/04/30 17:29,467153,0,חומוס סמיר הגדול 400גר,קבוצת אוסם סחר-שות.מוגבלת,,,"י""ח",4,ל 100 גרם,0,1,12.90,3.23,0,1,,
2014/07/03 08:45,7290000469638,1,ספריי מריטו לגיהוץ מושלם,"ש.שסטוביץ בע""מ",,,"י""ח",5,"ל 100 מ""ל",0,1,19.90,3.98,0,1,,
2023/08/21 12:17,7290000474502,1,גבינה לבנה  ב250 גרם 5%*  טרה,*החברה המרכזית להפצת משקאותבעמ,,,"י""ח",2.50,ל 100 גרם,0,1,5.43,2.17,0,1,,
2023/05/14 13:03,7290000474540,1,טוב טעם גבינה 5% טרה,*החברה המרכזית להפצת משקאותבעמ,,,"י""ח",2.50,ל 100 גרם,0,1,12.40,4.96,0,1,,
2023/07/17 17:54,7290000474830,1,גבינה צהובה 28% מגורדת 500 גרם,*החברה המרכזית להפצת משקאותבעמ,,,"י""ח",5,ל 100 גרם,0,1,30.90,6.18,0,1,,
2023/02/19 08:55,7290000482019,1,קוקי 10 יחידות,"ש.שסטוביץ בע""מ",,,"י""ח",1,,0,1,9.90,9.90,1,1,,
2023/01/18 10:59,7290000482033,1,קוקי ענק שקיות צלייה,"ש.שסטוביץ בע""מ",,,"י""ח",1,,0,1,9.90,9.90,1,1,,
2023/05/28 16:38,7290000484747,1,"ערק עלית 700 מ""ל",יקב הגליל שיווק בעמ,,,"י""ח",7,"ל 100 מ""ל",0,1,59.90,8.51,1,1,,
2023/05/16 17:54,7290000490762,1,מאגדת שמינייה גלידל שוקו,"פלקו בע""מ",,,"י""ח",1,,0,1,29.90,29.90,0,1,,
2023/07/27 12:14,7290000493183,1,אבקת רוטב פטריות לבשר.,קבוצת אוסם סחר-שות.מוגבלת,,,"י""ח",0.30,ל 100 גרם,0,1,3.50,11.67,0,1,,
2023/06/05 19:08,7290000497112,1,לחם אחיד פרוס]ברמן [750,"י.את א. ברמן בע""מ",,,"י""ח",7.50,ל 100 גרם,0,1,8.30,1.11,0,1,,
2023/07/31 19:09,497198,0,פיתות מארז 10יח  אסלי ברמן,"י.את א. ברמן בע""מ",,,"י""ח",1,,0,1,13.90,13.90,0,1,,
2023/01/18 11:03,7290000497228,1,6 לחמניות 75 ג ברמן,"י.את א. ברמן בע""מ",,,"י""ח",4.50,ל 100 גרם,0,1,9.90,2.20,0,1,,
2023/03/15 10:42,7290000497303,1,לחמניות מקמח מלא,"י.את א. ברמן בע""מ",,,"י""ח",5.40,ל 100 גרם,0,1,12.90,2.39,0,1,,
2023/03/15 10:31,7290000497532,1,לחם עינן של ברמן,"י.את א. ברמן בע""מ",,,"י""ח",7.50,ל 100 גרם,0,1,13.90,1.85,0,1,,
2023/01/24 17:30,7290000504278,1,סוכרזית פטנט,"שטראוס גרופ בע""מ",,,"י""ח",5.74,ל 100 גרם,0,1,13.80,2.40,1,1,,
2022/05/03 17:13,7290000515014,1,"קמח 1 ק""ג}באר  שבע{","טחנות קמח שטיבל ב""ש בע""מ",,,"י""ח",1,"ק""ג",0,1,5.20,5.20,0,1,,
2022/05/09 15:58,7290000515106,1,"סולת 1 ק""ג(טחנת  ב""ש)","טחנות קמח שטיבל ב""ש בע""מ",,,"י""ח",1,"ק""ג",0,1,5.20,5.20,0,1,,
